"","gene_name","gene_alias","gene_title","chr","map"
"FAM160B2","FAM160B2","FAM160B2","family with sequence similarity 160 member B2","8","8p21.3"
"FAM162A","FAM162A","FAM162A","family with sequence similarity 162 member A","3","3q21.1"
"FAM168A","FAM168A","FAM168A","family with sequence similarity 168 member A","11","11q13.4"
"FAM168B","FAM168B","FAM168B","family with sequence similarity 168 member B","2","2q21.1"
"FAM169A","FAM169A","FAM169A","family with sequence similarity 169 member A","5","5q13.3"
"FAM172A","FAM172A","FAM172A","family with sequence similarity 172 member A","5","5q15"
"FAM175A","FAM175A","FAM175A",NA,NA,NA
"FAM175B","FAM175B","FAM175B",NA,NA,NA
"FAM177A1","FAM177A1","FAM177A1","family with sequence similarity 177 member A1","14","14q13.2"
"FAM190B","FAM190B","FAM190B",NA,NA,NA
"FAM192A","FAM192A","FAM192A;NIP30","family with sequence similarity 192 member A","16","16q13"
"FAM195A","FAM195A","FAM195A",NA,NA,NA
"FAM195B","FAM195B","FAM195B",NA,NA,NA
"FAM203A","FAM203A","FAM203A;FAM203B",NA,NA,NA
"FAM204A","FAM204A","FAM204A","family with sequence similarity 204 member A","10","10q26.11"
"FAM206A","FAM206A","FAM206A","family with sequence similarity 206 member A","9","9q31.3"
"FAM207A","FAM207A","FAM207A","family with sequence similarity 207 member A","21","21q22.3"
"FAM208A","FAM208A","FAM208A","family with sequence similarity 208 member A","3","3p14.3"
"FAM208B","FAM208B","FAM208B","family with sequence similarity 208 member B","10","10p15.1"
"FAM20B","FAM20B","FAM20B","FAM20B, glycosaminoglycan xylosylkinase","1","1q25.2"
"FAM210A","FAM210A","FAM210A","family with sequence similarity 210 member A","18","18p11.21"
"FAM210B","FAM210B","FAM210B","family with sequence similarity 210 member B","20","20q13.2"
"FAM213A","FAM213A","FAM213A",NA,NA,NA
"FAM213B","FAM213B","FAM213B",NA,NA,NA
"FAM217A","FAM217A","FAM217A","family with sequence similarity 217 member A","6","6p25.2"
"FAM21A","FAM21A","FAM21A",NA,NA,NA
"FAM21C","FAM21C","FAM21C",NA,NA,NA
"FAM222B","FAM222B","FAM222B","family with sequence similarity 222 member B","17","17q11.2"
"FAM32A","FAM32A","FAM32A","family with sequence similarity 32 member A","19","19p13.11"
"FAM3C","FAM3C","FAM3C","family with sequence similarity 3 member C","7","7q31.31"
"FAM40A","FAM40A","FAM40A",NA,NA,NA
"FAM45A","FAM45A","FAM45A;FAM45B","family with sequence similarity 45 member A","10","10q26.11"
"FAM48A","FAM48A","FAM48A",NA,NA,NA
"FAM49B","FAM49B","FAM49B","family with sequence similarity 49 member B","8","8q24.21"
"FAM50A","FAM50A","FAM50A","family with sequence similarity 50 member A","X","Xq28"
"FAM50B","FAM50B","FAM50B","family with sequence similarity 50 member B","6","6p25.2"
"FAM53C","FAM53C","FAM53C","family with sequence similarity 53 member C","5","5q31.2"
"FAM54A","FAM54A","FAM54A",NA,NA,NA
"FAM54B","FAM54B","FAM54B",NA,NA,NA
"FAM60A","FAM60A","FAM60A",NA,NA,NA
"FAM63A","FAM63A","FAM63A",NA,NA,NA
"FAM65A","FAM65A","FAM65A",NA,NA,NA
"FAM65B","FAM65B","FAM65B",NA,NA,NA
"FAM76A","FAM76A","FAM76A","family with sequence similarity 76 member A","1","1p35.3"
"FAM76B","FAM76B","FAM76B","family with sequence similarity 76 member B","11","11q21"
"FAM82A1","FAM82A1","FAM82A1",NA,NA,NA
"FAM82A2","FAM82A2","FAM82A2",NA,NA,NA
"FAM82B","FAM82B","FAM82B",NA,NA,NA
"FAM84B","FAM84B","FAM84B","family with sequence similarity 84 member B","8","8q24.21"
"FAM86A","FAM86A","FAM86A",NA,NA,NA
"FAM91A1","FAM91A1","FAM91A1","family with sequence similarity 91 member A1","8","8q24.13"
"FAM96A","FAM96A","FAM96A",NA,NA,NA
"FAM96B","FAM96B","FAM96B",NA,NA,NA
"FAM98A","FAM98A","FAM98A","family with sequence similarity 98 member A","2","2p22.3"
"FAM98B","FAM98B","FAM98B","family with sequence similarity 98 member B","15","15q14"
"FAM98C","FAM98C","FAM98C","family with sequence similarity 98 member C","19","19q13.2"
"FANCA","FANCA","FANCA","FA complementation group A","16","16q24.3"
"FANCD2","FANCD2","FANCD2","FA complementation group D2","3","3p25.3"
"FANCG","FANCG","FANCG","FA complementation group G","9","9p13.3"
"FANCI","FANCI","FANCI","FA complementation group I","15","15q26.1"
"FAR1","FAR1","FAR1","fatty acyl-CoA reductase 1","11","11p15.3"
"FARS2","FARS2","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial","6","6p25.1"
"FARSA","FARSA","FARSA","phenylalanyl-tRNA synthetase subunit alpha","19","19p13.13"
"FARSB","FARSB","FARSB","phenylalanyl-tRNA synthetase subunit beta","2","2q36.1"
"FAS","FAS","FAS","Fas cell surface death receptor","10","10q23.31"
"FASN","FASN","FASN","fatty acid synthase","17","17q25.3"
"FASTKD1","FASTKD1","FASTKD1","FAST kinase domains 1","2","2q31.1"
"FASTKD2","FASTKD2","FASTKD2","FAST kinase domains 2","2","2q33.3"
"FASTKD5","FASTKD5","FASTKD5","FAST kinase domains 5","20","20p13"
"FAU","FAU","FAU","FAU, ubiquitin like and ribosomal protein S30 fusion","11","11q13.1"
"FBL","FBL","FBL","fibrillarin","19","19q13.2"
"FBLL1","FBLL1","FBLL1","fibrillarin like 1","5","5q34"
"FBLN1","FBLN1","FBLN1","fibulin 1","22","22q13.31"
"FBP1","FBP1","FBP1","fructose-bisphosphatase 1","9","9q22.32"
"FBP2","FBP2","FBP2","fructose-bisphosphatase 2","9","9q22.32"
"FBRS","FBRS","FBRS","fibrosin","16","16p11.2"
"FBXL12","FBXL12","FBXL12","F-box and leucine rich repeat protein 12","19","19p13.2"
"FBXL17","FBXL17","FBXL17","F-box and leucine rich repeat protein 17","5","5q21.3"
"FBXL20","FBXL20","FBXL20","F-box and leucine rich repeat protein 20","17","17q12"
"FBXL6","FBXL6","FBXL6","F-box and leucine rich repeat protein 6","8","8q24.3"
"FBXL8","FBXL8","FBXL8","F-box and leucine rich repeat protein 8","16","16q22.1"
"FBXO11","FBXO11","FBXO11","F-box protein 11","2","2p16.3"
"FBXO18","FBXO18","FBXO18",NA,NA,NA
"FBXO2","FBXO2","FBXO2","F-box protein 2","1","1p36.22"
"FBXO22","FBXO22","FBXO22","F-box protein 22","15","15q24.2"
"FBXO28","FBXO28","FBXO28","F-box protein 28","1","1q42.11"
"FBXO3","FBXO3","FBXO3","F-box protein 3","11","11p13"
"FBXO30","FBXO30","FBXO30","F-box protein 30","6","6q24.3"
"FBXO38","FBXO38","FBXO38","F-box protein 38","5","5q32"
"FBXO4","FBXO4","FBXO4","F-box protein 4","5","5p13.1"
"FBXO42","FBXO42","FBXO42","F-box protein 42","1","1p36.13"
"FBXO45","FBXO45","FBXO45","F-box protein 45","3","3q29"
"FBXO46","FBXO46","FBXO46","F-box protein 46","19","19q13.32"
"FBXO5","FBXO5","FBXO5","F-box protein 5","6","6q25.2"
"FBXO6","FBXO6","FBXO6","F-box protein 6","1","1p36.22"
"FBXO7","FBXO7","FBXO7","F-box protein 7","22","22q12.3"
"FBXW11","FBXW11","FBXW11","F-box and WD repeat domain containing 11","5","5q35.1"
"FBXW2","FBXW2","FBXW2","F-box and WD repeat domain containing 2","9","9q33.2"
"FBXW5","FBXW5","FBXW5","F-box and WD repeat domain containing 5","9","9q34.3"
"FCF1","FCF1","FCF1","FCF1, rRNA-processing protein","14","14q24.3"
"FCGRT","FCGRT","FCGRT","Fc fragment of IgG receptor and transporter","19","19q13.33"
"FCHO1","FCHO1","FCHO1","FCH domain only 1","19","19p13.11"
"FCHSD1","FCHSD1","FCHSD1","FCH and double SH3 domains 1","5","5q31.3"
"FCHSD2","FCHSD2","FCHSD2","FCH and double SH3 domains 2","11","11q13.4"
"FCN3","FCN3","FCN3","ficolin 3","1","1p36.11"
"FDFT1","FDFT1","FDFT1","farnesyl-diphosphate farnesyltransferase 1","8","8p23.1"
"FDPS","FDPS","FDPS","farnesyl diphosphate synthase","1","1q22"
"FDX1","FDX1","FDX1","ferredoxin 1","11","11q22.3"
"FDX1L","FDX1L","FDX1L",NA,NA,NA
"FDXR","FDXR","FDXR","ferredoxin reductase","17","17q25.1"
"FECH","FECH","FECH","ferrochelatase","18","18q21.31"
"FEM1A","FEM1A","FEM1A","fem-1 homolog A","19","19p13.3"
"FEN1","FEN1","FEN1","flap structure-specific endonuclease 1","11","11q12.2"
"FER","FER","FER","FER tyrosine kinase","5","5q21.3"
"FERMT3","FERMT3","FERMT3","fermitin family member 3","11","11q13.1"
"FETUB","FETUB","FETUB","fetuin B","3","3q27.3"
"FFR","FFR","FFR",NA,NA,NA
"FGA","FGA","FGA","fibrinogen alpha chain","4","4q31.3"
"FGB","FGB","FGB","fibrinogen beta chain","4","4q31.3"
"FGD3","FGD3","FGD3","FYVE, RhoGEF and PH domain containing 3","9","9q22.31"
"FGFR1OP","FGFR1OP","FGFR1OP","FGFR1 oncogene partner","6","6q27"
"FGG","FGG","FGG","fibrinogen gamma chain","4","4q32.1"
"FH","FH","FH","fumarate hydratase","1","1q43"
"FHIT","FHIT","FHIT","fragile histidine triad","3","3p14.2"
"FHL1","FHL1","FHL1","four and a half LIM domains 1","X","Xq26.3"
"FHL3","FHL3","FHL3","four and a half LIM domains 3","1","1p34.3"
"FHOD1","FHOD1","FHOD1","formin homology 2 domain containing 1","16","16q22.1"
"FIBP","FIBP","FIBP","FGF1 intracellular binding protein","11","11q13.1"
"FIG4","FIG4","FIG4","FIG4 phosphoinositide 5-phosphatase","6","6q21"
"FIGNL1","FIGNL1","FIGNL1","fidgetin like 1","7","7p12.2"
"FIP1L1","FIP1L1","FIP1L1","factor interacting with PAPOLA and CPSF1","4","4q12"
"FIS1","FIS1","FIS1","fission, mitochondrial 1","7","7q22.1"
"FIZ1","FIZ1","FIZ1","FLT3 interacting zinc finger 1","19","19q13.42"
"FKBP11","FKBP11","FKBP11","FK506 binding protein 11","12","12q13.12"
"FKBP15","FKBP15","FKBP15","FK506 binding protein 15","9","9q32"
"FKBP1A","FKBP1A","FKBP1A;FKBP12-Exip2","FK506 binding protein 1A","20","20p13"
"FKBP2","FKBP2","FKBP2","FK506 binding protein 2","11","11q13.1"
"FKBP3","FKBP3","FKBP3","FK506 binding protein 3","14","14q21.2"
"FKBP4","FKBP4","FKBP4","FK506 binding protein 4","12","12p13.33"
"FKBP5","FKBP5","FKBP5","FK506 binding protein 5","6","6p21.31"
"FLAD1","FLAD1","FLAD1","flavin adenine dinucleotide synthetase 1","1","1q21.3"
"FLCN","FLCN","FLCN","folliculin","17","17p11.2"
"FLI1","FLI1","FLI1","Fli-1 proto-oncogene, ETS transcription factor","11","11q24.3"
"FLII","FLII","FLII","FLII, actin remodeling protein","17","17p11.2"
"FLNA","FLNA","FLNA","filamin A","X","Xq28"
"FLNB","FLNB","FLNB","filamin B","3","3p14.3"
"FLOT1","FLOT1","FLOT1","flotillin 1","6","6p21.33"
"FLOT2","FLOT2","FLOT2","flotillin 2","17","17q11.2"
"FLYWCH2","FLYWCH2","FLYWCH2","FLYWCH family member 2","16","16p13.3"
"FMNL1","FMNL1","FMNL1","formin like 1","17","17q21.31"
"FMNL2","FMNL2","FMNL2","formin like 2","2","2q23.3"
"FMR1","FMR1","FMR1","fragile X mental retardation 1","X","Xq27.3"
"FN1","FN1","FN1","fibronectin 1","2","2q35"
"FN3K","FN3K","FN3K","fructosamine 3 kinase","17","17q25.3"
"FN3KRP","FN3KRP","FN3KRP","fructosamine 3 kinase related protein","17","17q25.3"
"FNBP1","FNBP1","FNBP1","formin binding protein 1","9","9q34.11"
"FNBP4","FNBP4","FNBP4","formin binding protein 4","11","11p11.2"
"FNDC3A","FNDC3A","FNDC3A","fibronectin type III domain containing 3A","13","13q14.2"
"FNDC3B","FNDC3B","FNDC3B","fibronectin type III domain containing 3B","3","3q26.31"
"FNTA","FNTA","FNTA","farnesyltransferase, CAAX box, alpha","8","8p11.21"
"FNTB","FNTB","FNTB;CHURC1-FNTB","farnesyltransferase, CAAX box, beta","14","14q23.3"
"FOCAD","FOCAD","FOCAD","focadhesin","9","9p21.3"
"FOSB","FOSB","FOSB","FosB proto-oncogene, AP-1 transcription factor subunit","19","19q13.32"
"FOSL2","FOSL2","FOSL2","FOS like 2, AP-1 transcription factor subunit","2","2p23.2"
"FOXJ2","FOXJ2","FOXJ2","forkhead box J2","12","12p13.31"
"FOXJ3","FOXJ3","FOXJ3","forkhead box J3","1","1p34.2"
"FOXK1","FOXK1","FOXK1","forkhead box K1","7","7p22.1"
"FOXK2","FOXK2","FOXK2","forkhead box K2","17","17q25.3"
"FOXN2","FOXN2","FOXN2","forkhead box N2","2","2p16.3"
"FOXO1","FOXO1","FOXO1","forkhead box O1","13","13q14.11"
"FOXP1","FOXP1","FOXP1","forkhead box P1","3","3p13"
"FOXP3","FOXP3","FOXP3","forkhead box P3","X","Xp11.23"
"FOXP4","FOXP4","FOXP4","forkhead box P4","6","6p21.1"
"FOXRED1","FOXRED1","FOXRED1","FAD dependent oxidoreductase domain containing 1","11","11q24.2"
"FPGS","FPGS","FPGS","folylpolyglutamate synthase","9","9q34.11"
"FPGT","FPGT","FPGT","fucose-1-phosphate guanylyltransferase","1","1p31.1"
"FRA10AC1","FRA10AC1","FRA10AC1","FRA10A associated CGG repeat 1","10","10q23.33"
"FRG1","FRG1","FRG1;FRG1B","FSHD region gene 1","4","4q35.2"
"FRMD8","FRMD8","FRMD8","FERM domain containing 8","11","11q13.1"
"FRY","FRY","FRY","FRY microtubule binding protein","13","13q13.1"
"FRYL","FRYL","FRYL","FRY like transcription coactivator","4","4p11"
"FSBP","FSBP","FSBP","fibrinogen silencer binding protein","8","8q22.1"
"FSCN1","FSCN1","FSCN1","fascin actin-bundling protein 1","7","7p22.1"
"FSD1","FSD1","FSD1","fibronectin type III and SPRY domain containing 1","19","19p13.3"
"FTH1","FTH1","FTH1","ferritin heavy chain 1","11","11q12.3"
"FTL","FTL","FTL","ferritin light chain","19","19q13.33"
"FTO","FTO","FTO","FTO, alpha-ketoglutarate dependent dioxygenase","16","16q12.2"
"FTSJ1","FTSJ1","FTSJ1","FtsJ RNA methyltransferase homolog 1","X","Xp11.23"
"FTSJ3","FTSJ3","FTSJ3","FtsJ RNA methyltransferase homolog 3","17","17q23.3"
"FTSJD1","FTSJD1","FTSJD1",NA,NA,NA
"FTSJD2","FTSJD2","FTSJD2",NA,NA,NA
"FUBP1","FUBP1","FUBP1","far upstream element binding protein 1","1","1p31.1"
"FUBP3","FUBP3","FUBP3","far upstream element binding protein 3","9","9q34.11-q34.12"
"FUCA1","FUCA1","FUCA1","alpha-L-fucosidase 1","1","1p36.11"
"FUK","FUK","FUK","fucokinase","16","16q22.1"
"FUNDC1","FUNDC1","FUNDC1","FUN14 domain containing 1","X","Xp11.3"
"FUNDC2","FUNDC2","FUNDC2","FUN14 domain containing 2","X","Xq28"
"FUS","FUS","FUS","FUS RNA binding protein","16","16p11.2"
"FUSIP1","FUSIP1","FUSIP1;SRSF10",NA,NA,NA
"FUT8","FUT8","FUT8","fucosyltransferase 8","14","14q23.3"
"FXC1","FXC1","FXC1",NA,NA,NA
"FXN","FXN","FXN","frataxin","9","9q21.11"
"FXR1","FXR1","FXR1","FMR1 autosomal homolog 1","3","3q26.33"
"FXR2","FXR2","FXR2","FMR1 autosomal homolog 2","17","17p13.1"
"FYB","FYB","FYB",NA,NA,NA
"FYCO1","FYCO1","FYCO1","FYVE and coiled-coil domain containing 1","3","3p21.31"
"FYN","FYN","FYN","FYN proto-oncogene, Src family tyrosine kinase","6","6q21"
"FYTTD1","FYTTD1","FYTTD1","forty-two-three domain containing 1","3","3q29"
"G3BP1","G3BP1","G3BP1","G3BP stress granule assembly factor 1","5","5q33.1"
"G3BP2","G3BP2","G3BP2","G3BP stress granule assembly factor 2","4","4q21.1"
"G6PC3","G6PC3","G6PC3","glucose-6-phosphatase catalytic subunit 3","17","17q21.31"
"G6PD","G6PD","G6PD","glucose-6-phosphate dehydrogenase","X","Xq28"
"GAA","GAA","GAA","glucosidase alpha, acid","17","17q25.3"
"GAB3","GAB3","GAB3","GRB2 associated binding protein 3","X","Xq28"
"GABARAP","GABARAP","GABARAP","GABA type A receptor-associated protein","17","17p13.1"
"GABARAPL2","GABARAPL2","GABARAPL2","GABA type A receptor associated protein like 2","16","16q23.1"
"GABPA","GABPA","GABPA","GA binding protein transcription factor subunit alpha","21","21q21.3"
"GABPB1","GABPB1","GABPB1","GA binding protein transcription factor subunit beta 1","15","15q21.2"
"GABPB2","GABPB2","GABPB2","GA binding protein transcription factor subunit beta 2","1","1q21.3"
"GADD45GIP1","GADD45GIP1","GADD45GIP1","GADD45G interacting protein 1","19","19p13.13"
"GAK","GAK","GAK","cyclin G associated kinase","4","4p16.3"
"GALC","GALC","GALC","galactosylceramidase","14","14q31.3"
"GALE","GALE","GALE","UDP-galactose-4-epimerase","1","1p36.11"
"GALK1","GALK1","GALK1","galactokinase 1","17","17q25.1"
"GALK2","GALK2","GALK2","galactokinase 2","15","15q21.1-q21.2"
"GALM","GALM","GALM","galactose mutarotase","2","2p22.1"
"GALNS","GALNS","GALNS","galactosamine (N-acetyl)-6-sulfatase","16","16q24.3"
"GALNT1","GALNT1","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1","18","18q12.2"
"GALNT11","GALNT11","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11","7","7q36.1"
"GALNT2","GALNT2","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2","1","1q42.13"
"GALNT7","GALNT7","GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","4","4q34.1"
"GALT","GALT","GALT","galactose-1-phosphate uridylyltransferase","9","9p13.3"
"GAMT","GAMT","GAMT","guanidinoacetate N-methyltransferase","19","19p13.3"
"GAN","GAN","GAN","gigaxonin","16","16q23.2"
"GANAB","GANAB","GANAB","glucosidase II alpha subunit","11","11q12.3"
"GANC","GANC","GANC","glucosidase alpha, neutral C","15","15q15.1"
"GAPDH","GAPDH","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","12","12p13.31"
"GAPDHS","GAPDHS","GAPDHS","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","19","19q13.12"
"GAPVD1","GAPVD1","GAPVD1","GTPase activating protein and VPS9 domains 1","9","9q33.3"
"GAR1","GAR1","GAR1","GAR1 ribonucleoprotein","4","4q25"
"GARS","GARS","GARS","glycyl-tRNA synthetase","7","7p14.3"
"GART","GART","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","21","21q22.11"
"GATA3","GATA3","GATA3","GATA binding protein 3","10","10p14"
"GATAD1","GATAD1","GATAD1","GATA zinc finger domain containing 1","7","7q21.2"
"GATAD2A","GATAD2A","GATAD2A","GATA zinc finger domain containing 2A","19","19p13.11"
"GATAD2B","GATAD2B","GATAD2B","GATA zinc finger domain containing 2B","1","1q21.3"
"GATC","GATC","GATC","glutamyl-tRNA amidotransferase subunit C","12","12q24.31"
"GBA","GBA","GBA","glucosylceramidase beta","1","1q22"
"GBA2","GBA2","GBA2","glucosylceramidase beta 2","9","9p13.3"
"GBAS","GBAS","GBAS",NA,NA,NA
"GBE1","GBE1","GBE1","1,4-alpha-glucan branching enzyme 1","3","3p12.2"
"GBF1","GBF1","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1","10","10q24.32"
"GBP1","GBP1","GBP1","guanylate binding protein 1","1","1p22.2"
"GBP2","GBP2","GBP2","guanylate binding protein 2","1","1p22.2"
"GBP4","GBP4","GBP4","guanylate binding protein 4","1","1p22.2"
"GBP5","GBP5","GBP5","guanylate binding protein 5","1","1p22.2"
"GBP7","GBP7","GBP7","guanylate binding protein 7","1","1p22.2"
"GC","GC","GC","GC, vitamin D binding protein","4","4q13.3"
"GCA","GCA","GCA","grancalcin","2","2q24.2"
"GCAT","GCAT","GCAT","glycine C-acetyltransferase","22","22q13.1"
"GCC1","GCC1","GCC1","GRIP and coiled-coil domain containing 1","7","7q32.1"
"GCC2","GCC2","GCC2","GRIP and coiled-coil domain containing 2","2","2q12.3"
"GCDH","GCDH","GCDH","glutaryl-CoA dehydrogenase","19","19p13.13"
"GCET2","GCET2","GCET2",NA,NA,NA
"GCFC1","GCFC1","GCFC1",NA,NA,NA
"GCFC2","GCFC2","GCFC2","GC-rich sequence DNA-binding factor 2","2","2p12"
"GCH1","GCH1","GCH1","GTP cyclohydrolase 1","14","14q22.2"
"GCHFR","GCHFR","GCHFR","GTP cyclohydrolase I feedback regulator","15","15q15.1"
"GCLC","GCLC","GCLC","glutamate-cysteine ligase catalytic subunit","6","6p12.1"
"GCLM","GCLM","GCLM","glutamate-cysteine ligase modifier subunit","1","1p22.1"
"GCN1L1","GCN1L1","GCN1L1",NA,NA,NA
"GCSH","GCSH","GCSH","glycine cleavage system protein H","16","16q23.2"
"GDAP1","GDAP1","GDAP1","ganglioside induced differentiation associated protein 1","8","8q21.11"
"GDAP2","GDAP2","GDAP2","ganglioside induced differentiation associated protein 2","1","1p12"
"GDE1","GDE1","GDE1","glycerophosphodiester phosphodiesterase 1","16","16p12.3"
"GDI1","GDI1","GDI1","GDP dissociation inhibitor 1","X","Xq28"
"GDI2","GDI2","GDI2","GDP dissociation inhibitor 2","10","10p15.1"
"GDPGP1","GDPGP1","GDPGP1","GDP-D-glucose phosphorylase 1","15","15q26.1"
"GEMIN2","GEMIN2","GEMIN2","gem nuclear organelle associated protein 2","14","14q21.1"
"GEMIN4","GEMIN4","GEMIN4","gem nuclear organelle associated protein 4","17","17p13.3"
"GEMIN5","GEMIN5","GEMIN5","gem nuclear organelle associated protein 5","5","5q33.2"
"GEMIN6","GEMIN6","GEMIN6","gem nuclear organelle associated protein 6","2","2p22.1"
"GEMIN7","GEMIN7","GEMIN7","gem nuclear organelle associated protein 7","19","19q13.32"
"GEN1","GEN1","GEN1","GEN1, Holliday junction 5' flap endonuclease","2","2p24.2"
"GET4","GET4","GET4","golgi to ER traffic protein 4","7","7p22.3"
"GFER","GFER","GFER","growth factor, augmenter of liver regeneration","16","16p13.3"
"GFI1","GFI1","GFI1","growth factor independent 1 transcriptional repressor","1","1p22.1"
"GFM1","GFM1","GFM1","G elongation factor mitochondrial 1","3","3q25.32"
"GFM2","GFM2","GFM2","G elongation factor mitochondrial 2","5","5q13.3"
"GFOD2","GFOD2","GFOD2","glucose-fructose oxidoreductase domain containing 2","16","16q22.1"
"GFPT1","GFPT1","GFPT1","glutamine--fructose-6-phosphate transaminase 1","2","2p13.3"
"GGA1","GGA1","GGA1","golgi associated, gamma adaptin ear containing, ARF binding protein 1","22","22q13.1"
"GGA2","GGA2","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2","16","16p12.2"
"GGA3","GGA3","GGA3","golgi associated, gamma adaptin ear containing, ARF binding protein 3","17","17q25.1"
"GGCT","GGCT","GGCT","gamma-glutamylcyclotransferase","7","7p14.3"
"GGCX","GGCX","GGCX","gamma-glutamyl carboxylase","2","2p11.2"
"GGH","GGH","GGH","gamma-glutamyl hydrolase","8","8q12.3"
"GGPS1","GGPS1","GGPS1","geranylgeranyl diphosphate synthase 1","1","1q42.3"
